country,cluster,date,upper_bound,forecast,lower_bound
Country_g,Product_11,2019-02-01,4830828.54517515,3073573.20351759,1297602.10069224
Country_d,Product_16,2018-01-01,7242956.28597593,6899742.92832955,6571337.0908873
Country_h,Product_54,2019-03-01,1104385907.83726,907478955.812338,718911911.070604
Country_j,Product_11,2018-11-01,0,0,0
Country_h,Product_37,2019-01-01,1457777317.84269,1373635334.8449,1291030110.18241
Country_g,Product_69,2018-07-01,291730.209205747,217980.698480973,144365.921958472
Country_g,Product_71,2018-11-01,82601.1159285773,64072.7964707288,46024.3961248593
Country_c,Product_51,2018-01-01,1843121.00086509,1607931.08115788,1373353.00447971
Country_c,Product_37,2018-08-01,853861996.88777,818272330.651621,783159872.187718
Country_j,Product_12,2017-11-01,115187.799305384,106633.593591732,98389.285958926
Country_d,Product_53,2018-01-01,619868.554323422,538721.127326453,465833.645352379
Country_b,Product_41,2018-07-01,4025312102.8237,3472707883.22576,2920446810.78835
Country_f,Product_26,2019-06-01,74204282.8757866,66412524.0076688,58650162.0633028
Country_f,Product_26,2017-12-01,63545295.4112644,56206684.4196416,48520869.6156181
Country_g,Product_31,2019-02-01,6230.0143208806,0,0
Country_i,Product_32,2018-09-01,9904341.73459638,7306840.2954161,4615460.16912919
Country_c,Product_24,2018-03-01,17887.3279543441,17265.6120109972,16625.044580357
Country_b,Product_9,2018-06-01,19251595.7625759,15868250.6602475,12796952.9583738
Country_b,Product_35,2018-01-01,2313607.77430856,2021856.31331827,1733183.74862597
Country_g,Product_73,2017-10-01,1145568088.48989,892316378.465947,663336938.277279
Country_h,Product_1,2017-10-01,335556.173135928,303553.753324459,274177.864859157
Country_e,Product_70,2019-02-01,6747310.30327797,4975707.14548199,3113504.02417966
Country_d,Product_20,2018-01-01,4208775.91589237,4155487.03442622,4099544.6351793
Country_j,Product_55,2019-02-01,54409.3306361456,47784.5913702399,40405.828166155
Country_b,Product_37,2018-11-01,182332068.034554,165873346.471501,149434066.457755
Country_a,Product_30,2018-09-01,4853973.9573228,4511929.28330902,4196096.60942396
Country_i,Product_52,2018-06-01,22693285.0981852,21956253.3367524,21188555.1650862
Country_f,Product_80,2018-07-01,11120270.7455566,9774837.05099414,8514996.00161097
Country_f,Product_20,2018-10-01,4779924.59557964,4362573.52055798,3909192.7917662
Country_j,Product_14,2018-07-01,15264.33102071,13634.3014040948,11892.7676089027
Country_f,Product_75,2017-12-01,2187899854.73801,1241021244.39965,228766682.003825
Country_d,Product_55,2018-04-01,128722.33816996,120310.713135891,112127.108955197
Country_j,Product_55,2019-01-01,52825.1120832502,46032.5785975173,39270.6586969434
Country_g,Product_9,2017-08-01,99360987.5306489,85729908.1378475,70669336.6132116
Country_f,Product_74,2018-12-01,346363208.20987,269533450.594144,188583102.44526
Country_f,Product_75,2018-03-01,2062681440.45373,1053589742.21179,99469758.0235358
Country_h,Product_23,2018-02-01,97831.0951196059,93004.165456871,88358.4288686771
Country_i,Product_11,2019-03-01,249349.709412584,63914.1813200884,0
Country_i,Product_89,2019-01-01,0,0,0
Country_a,Product_19,2018-11-01,87767171.846074,65042057.5096852,43330288.0007043
Country_h,Product_55,2018-06-01,87359.1688418257,83208.270505602,78891.0218675691
Country_j,Product_92,2018-02-01,223322.348072295,203786.1010362,185423.049177735
Country_i,Product_45,2018-01-01,18147462.3691187,17126130.482369,16129969.7727312
Country_a,Product_11,2018-08-01,43034.9012107215,0,0
Country_a,Product_9,2018-04-01,26108817.5921362,21583688.380079,17417436.9594146
Country_d,Product_12,2019-06-01,457751.518695557,430411.389727398,402177.521929561
Country_a,Product_8,2019-02-01,8177669.25559683,6492488.88563954,4843697.29959967
Country_c,Product_11,2018-03-01,2908864.17430994,1998662.97720316,1060198.46300746
Country_f,Product_80,2018-06-01,5116604.28092954,3945082.98659352,2752325.00260207
Country_f,Product_71,2018-05-01,185418.912723914,155388.584457062,128632.403010922
Country_i,Product_45,2018-04-01,19583213.5145554,18601079.6940954,17662935.4880644
Country_j,Product_29,2018-07-01,38699068.8020442,35903718.3119791,32974515.3371354
Country_f,Product_81,2019-06-01,93530283.8906501,75414654.1758838,57902533.5181449
Country_c,Product_9,2019-03-01,86017695.8512874,81233414.6677225,76568681.8799239
Country_i,Product_14,2018-02-01,280647.83141709,264454.317855418,247458.969046412
Country_b,Product_4,2019-03-01,45533641.1879504,29626549.7873885,14364998.7141502
Country_h,Product_9,2018-11-01,43544687.9516556,40365945.4126878,36777665.2100471
Country_d,Product_60,2017-08-01,677323.83172012,553009.614959654,425757.039011621
Country_c,Product_16,2018-07-01,3749920.92731724,3667649.8142085,3580986.04853656
Country_e,Product_72,2018-09-01,37800809.4548842,33225443.2217849,29116912.442214
Country_i,Product_23,2017-12-01,870590.2426392,799697.280776893,725319.710260553
Country_g,Product_87,2017-09-01,246377232.757296,198558172.005449,149396561.411503
Country_d,Product_53,2017-08-01,610373.814633297,528306.859439883,451366.07953
Country_h,Product_4,2017-08-01,2312587.78031813,1907444.03687736,1455790.44959122
Country_f,Product_31,2019-02-01,0,0,0
Country_i,Product_62,2019-04-01,32954790.8635626,17294746.5477929,0
Country_c,Product_24,2018-06-01,19272.7423200312,18556.6669382621,17779.607615622
Country_f,Product_69,2019-05-01,485516.567249793,372484.421242175,271915.667451912
Country_a,Product_4,2018-11-01,1766371.48329437,0,0
Country_j,Product_23,2017-10-01,128474.13952258,122064.996596937,116162.071582545
Country_e,Product_41,2018-05-01,244886749.170797,196425191.900644,147596580.312978
Country_d,Product_14,2017-09-01,85942.5695202489,77229.4789781597,69069.8833914888
Country_j,Product_93,2017-08-01,271738172.551204,244605863.084802,220138851.197642
Country_c,Product_50,2018-03-01,3612929123.53064,3392755288.29971,3187733029.4898
Country_h,Product_13,2018-07-01,61874973.42153,47735765.3589399,33845973.8043883
Country_e,Product_12,2018-12-01,2100.10372435041,1896.23379331407,1675.58905189647
Country_b,Product_9,2019-03-01,14994196.4281155,11856407.7854972,8495861.65386306
Country_j,Product_28,2018-09-01,3694770.56221402,3033546.23466817,2358324.74040991
Country_j,Product_26,2019-05-01,43750635.3498138,41013266.6693969,38045721.0800924
Country_e,Product_35,2018-04-01,2327408.43843866,2064901.83217931,1803589.40110898
Country_b,Product_31,2018-11-01,73860.6720270526,57923.5642596244,41887.422709025
Country_b,Product_35,2019-04-01,2265371.5200094,1984719.37244933,1671629.74640423
Country_h,Product_53,2017-09-01,583701.011015275,524389.078596293,457389.045213109
Country_h,Product_27,2019-02-01,612774803.461043,575872285.691462,540909790.862695
Country_b,Product_41,2017-10-01,4440649243.65328,3909360484.10404,3374256252.19459
Country_b,Product_35,2018-03-01,2668446.17201798,2374934.36735133,2076596.3570892
Country_h,Product_88,2018-06-01,235192.09822107,138203.045826507,44299.1030630449
Country_f,Product_77,2017-08-01,3396861.23028508,0,0
Country_f,Product_11,2018-11-01,3053923.12271839,2551897.33470968,1997317.56067794
Country_h,Product_28,2019-01-01,27467793.6197922,14583583.4291952,334969.312840946
Country_i,Product_4,2019-05-01,2530032.35810552,0,0
Country_f,Product_70,2018-12-01,1711805.13861624,1433060.31619417,1165869.98282415
Country_h,Product_23,2018-08-01,96737.977532573,92404.1946109801,87626.103613119
Country_d,Product_60,2019-03-01,817530.221011246,683825.148863455,563073.677799143
Country_h,Product_13,2019-03-01,40514601.9153345,26888544.9634668,12458673.3420425
Country_h,Product_26,2018-04-01,32390426.4496581,30898974.1724964,29384228.8275059
Country_g,Product_3,2018-02-01,2354450.36279627,2097290.47155479,1823045.1641609
Country_a,Product_32,2018-11-01,1439749.84710734,1231634.43924375,1010776.44199691
Country_h,Product_55,2019-05-01,100022.748526684,95100.3849266598,90525.3429019987
Country_i,Product_1,2018-06-01,1727624.20741622,1337260.01432872,976807.148578356
Country_c,Product_1,2017-12-01,1099517.29976832,1017431.72965784,935231.152900606
Country_g,Product_35,2019-04-01,50308829.0905961,43647353.247626,37120174.7202481
Country_g,Product_18,2018-12-01,12892.3857703285,10045.5042401122,7296.52362445607
Country_d,Product_31,2018-06-01,650.330477397755,0,0
Country_d,Product_12,2018-11-01,449770.874072862,423753.000712629,395767.998893231
Country_a,Product_31,2018-05-01,0,0,0
Country_d,Product_14,2018-10-01,101477.506232824,93146.2717257302,84908.2837465535
Country_b,Product_43,2018-03-01,6437176717.54873,5731395154.31599,5088665371.19616
Country_h,Product_18,2018-09-01,9177.83566324644,8776.20813105276,8338.30086735498
Country_d,Product_32,2019-04-01,11018099.6081275,10313211.5177365,9629927.25196949
Country_d,Product_43,2018-05-01,367100800.135517,111704447.78341,0
Country_g,Product_1,2018-11-01,985000.451472324,844951.602431289,696912.568240219
Country_c,Product_53,2018-11-01,1094404.68143759,1029530.08537622,966032.957567211
Country_g,Product_58,2017-11-01,274285.6133966,245886.083979302,218582.621134277
Country_f,Product_62,2018-11-01,55259724.4844209,30064014.0717534,5256705.79544567
Country_h,Product_24,2018-10-01,6129.95716959976,4922.14194402651,3744.27260624168
Country_i,Product_23,2019-02-01,904251.608597253,829309.497480726,759257.725915537
Country_a,Product_19,2018-07-01,84705443.679331,63674742.0276935,40693409.5757115
Country_b,Product_39,2017-10-01,8600744.34683577,7259998.53474725,5863663.24444912
Country_g,Product_65,2018-09-01,10739.3060853025,8977.04776870275,7324.80443453479
Country_d,Product_64,2018-11-01,83490.6974531709,68262.9252067104,51702.9414793633
Country_c,Product_26,2018-03-01,52169239.9463591,48435146.7020656,44864310.5020393
Country_a,Product_21,2018-04-01,240310.662110825,229631.374061131,219004.559189625
Country_h,Product_29,2018-09-01,22911417.1522881,22009527.3197096,21073206.9334053
Country_f,Product_65,2018-08-01,10575.9438890223,8330.59653526822,5978.08095946319
Country_a,Product_16,2018-05-01,1220536.63855149,1156505.92746357,1096127.59221542
Country_f,Product_11,2019-04-01,2874908.58387336,2354413.58585899,1805079.23020587
Country_f,Product_34,2018-09-01,1333007997.57387,949653785.045622,595200436.829024
Country_e,Product_72,2018-08-01,37015344.6196793,32829461.025242,28198212.6373213
Country_e,Product_12,2018-02-01,1909.98464470227,1687.63192873898,1460.86890126055
Country_d,Product_55,2019-02-01,143476.028613333,134826.096484325,126852.415481954
Country_b,Product_9,2019-01-01,18444089.3914109,15305756.2561196,12159648.6675629
Country_g,Product_53,2019-02-01,793671.551267623,617583.343282661,419475.543506283
Country_f,Product_74,2018-06-01,296077636.789466,215760075.308106,138800056.355451
Country_h,Product_12,2017-08-01,103805.139016088,99928.9509413104,96228.2041318939
Country_a,Product_2,2017-08-01,140000938.060043,116658925.362774,92022293.8456666
Country_f,Product_83,2017-10-01,4692240.70478528,2113737.12567153,0
Country_i,Product_20,2018-06-01,17982067.5603089,17538912.4216802,17090408.5589946
Country_j,Product_25,2019-05-01,12959644.2781512,12248745.4422701,11530036.6525828
Country_e,Product_66,2018-04-01,7313997.63528867,5990300.33741046,4695822.39381205
Country_i,Product_45,2018-07-01,22693112.3129477,21731055.4217121,20608623.4508425
Country_j,Product_24,2019-02-01,868.646938857673,676.449141589415,480.448449893099
Country_f,Product_20,2018-02-01,4180383.14574551,3693752.22949277,3250393.8342789
Country_g,Product_31,2019-06-01,9590.60101656561,0,0
Country_d,Product_59,2017-12-01,37101315.782526,19660934.269778,2476788.92604296
Country_g,Product_87,2018-12-01,247531346.484931,199504303.009753,150405108.739375
Country_j,Product_14,2018-12-01,15109.7204303375,13432.846082639,11661.6722513431
Country_f,Product_60,2018-04-01,204154.046005745,103049.903898763,0
Country_g,Product_22,2018-01-01,8703.15627942706,4966.21083572927,1533.22162682494
Country_c,Product_54,2019-02-01,1136388053.62723,998505779.839551,845698371.562437
Country_i,Product_57,2018-02-01,846467.956794509,715406.684490295,577023.337894402
Country_h,Product_37,2018-12-01,1440535641.74312,1351310608.65182,1270531976.0966
Country_c,Product_23,2019-04-01,144202.110143182,138462.546143945,132435.098174475
Country_c,Product_37,2018-09-01,925239908.023491,892156084.23142,856281628.95431
Country_e,Product_71,2017-08-01,4056.97737164058,3476.97617218993,2942.95656277257
Country_a,Product_17,2019-01-01,26158465.0074005,22026334.8195065,17469165.0027346
Country_e,Product_3,2018-04-01,315502.374307098,310973.524047902,306682.789662923
Country_a,Product_16,2018-02-01,1101441.21868372,1038180.3454436,974819.335052539
Country_j,Product_26,2019-06-01,47853991.8351417,44799755.2585019,41819245.873714
Country_h,Product_24,2019-05-01,7145.58953361432,6031.52605364893,4788.49999391454
Country_e,Product_35,2018-01-01,2418460.20110195,2167767.70634886,1879253.44349461
Country_c,Product_20,2018-08-01,4984122.04413201,4861072.43744661,4732115.318239
Country_a,Product_3,2017-10-01,2130300.88602982,2097299.52457139,2063867.98565589
Country_j,Product_14,2018-02-01,14200.3652244048,12465.953613814,10651.4873729263
Country_j,Product_94,2019-03-01,0,0,0
Country_e,Product_68,2018-05-01,10067110.3803861,7471644.55541945,4919665.17345511
Country_j,Product_4,2018-02-01,3402082.77824786,789439.822677622,0
Country_f,Product_24,2017-11-01,16593.0151881873,15238.6068674142,13895.0295506148
Country_b,Product_9,2019-04-01,17994705.0301191,14741220.9734577,11733058.3179484
Country_h,Product_25,2018-05-01,4499699.61010097,4308516.65354343,4107204.5464238
Country_d,Product_26,2019-03-01,86112814.2754455,80976124.778241,75696448.4472925
Country_j,Product_31,2018-02-01,0,0,0
Country_d,Product_54,2018-11-01,993247611.104059,819399794.476417,655167966.237639
Country_j,Product_62,2018-12-01,118719954.8047,107028178.457065,94799409.1282829
Country_h,Product_7,2019-06-01,3302363539.9425,2952495321.51063,2613762343.52457
Country_f,Product_58,2017-10-01,527353.175903353,480641.226418379,433937.00062408
Country_d,Product_59,2018-04-01,32422211.1607828,15070777.0423103,0
Country_g,Product_34,2018-02-01,200684189.655062,0,0
Country_c,Product_29,2018-08-01,20758920.7407266,17285904.6003908,13998830.6763559
Country_h,Product_54,2018-09-01,1145904067.05806,967750737.318878,776758245.660751
Country_f,Product_61,2018-01-01,460954093.48651,431188144.827788,399019133.42399
Country_i,Product_22,2018-02-01,7061.93868266507,4172.21737687736,1454.67428574402
Country_d,Product_59,2019-03-01,16426955.2509643,0,0
Country_e,Product_12,2017-12-01,1869.2764921986,1643.03160281801,1449.76192145904
Country_h,Product_30,2018-12-01,7731706.42830198,7497573.66746112,7275739.00279547
Country_e,Product_69,2018-01-01,22268.5429040488,16450.2616918708,10899.6008921159
Country_h,Product_18,2019-05-01,11024.828386125,10506.0773431937,9966.76694600405
Country_j,Product_4,2018-08-01,2989452.09681985,485183.9230867,0
Country_g,Product_69,2018-11-01,271568.747977771,199422.540287133,133622.178326332
Country_b,Product_26,2018-08-01,289701001.545886,87862242.3999995,0
Country_d,Product_59,2019-05-01,17181098.9337794,0,0
Country_d,Product_64,2018-06-01,75938.8108505445,59622.4271497574,43808.1123890897
Country_a,Product_21,2018-12-01,259226.935248853,245674.665690002,231873.781035763
Country_f,Product_84,2019-01-01,1431052952.45171,877356939.879006,345948980.315804
Country_a,Product_7,2018-05-01,1115901666.56023,1010010310.24251,910634383.764835
Country_a,Product_18,2018-05-01,11070.5010034113,9254.86451491172,7673.48650082543
Country_f,Product_18,2018-07-01,13152.4149871026,11790.6674392786,10433.2478618237
Country_d,Product_55,2017-10-01,119619.204451537,112135.28765291,103809.936172448
Country_g,Product_86,2017-11-01,6972249.05086509,3065076.0064719,0
Country_i,Product_23,2017-11-01,908756.422619099,835523.4544452,759669.070634192
Country_d,Product_1,2018-01-01,442736.323731957,321638.521633101,196753.087988783
Country_i,Product_32,2018-03-01,11628154.8021243,8824894.19809205,6106864.95575203
Country_a,Product_7,2019-01-01,971793261.608167,864354795.06241,756462817.560242
Country_i,Product_61,2017-10-01,878409759.1264,563864949.917757,255479398.46827
Country_j,Product_9,2017-12-01,64244277.2260965,55954379.2697966,47744769.4484011
Country_d,Product_9,2018-04-01,89003809.6198561,81080837.8666371,72921297.9097304
Country_i,Product_65,2018-10-01,56326.8220204593,49661.6102546772,43338.5907914072
Country_c,Product_54,2018-01-01,1142735159.95348,983018499.552151,838037755.701239
Country_b,Product_9,2017-12-01,12606562.944657,9308116.99964329,6123197.0747388
Country_g,Product_26,2018-08-01,144218528.352432,121918255.41404,99891766.8628123
Country_c,Product_31,2018-08-01,14942.5363789605,4787.61902779467,0
Country_f,Product_34,2018-06-01,1335386347.88652,941666444.611534,562814319.083669
Country_j,Product_14,2019-05-01,17370.2348655477,15616.283502245,14096.2756798276
Country_j,Product_29,2018-06-01,28165336.0349109,25309001.775236,22328400.6088093
Country_b,Product_13,2018-07-01,135023953.266788,116881061.694071,97763306.6394625
Country_d,Product_32,2019-03-01,12577631.8856567,11910761.2890086,11269492.3818805
Country_i,Product_49,2018-08-01,156467.322356294,149267.237288232,142465.202963917
Country_j,Product_12,2019-01-01,128368.904906912,120188.800358055,112343.746617291
Country_c,Product_23,2017-12-01,135200.434865246,129589.467524305,123569.295574795
Country_f,Product_71,2017-11-01,188339.561053281,159112.041168646,132796.429059807
Country_h,Product_4,2018-11-01,2122871.53366352,1661043.05078647,1214450.17765754
Country_i,Product_39,2018-06-01,12037667.1060315,8546995.39389055,4871610.93626501
Country_i,Product_61,2018-08-01,440941614.504561,101907486.618129,0
Country_i,Product_28,2019-03-01,84020015.4988308,80049518.7394767,75519907.6278581
Country_a,Product_30,2019-05-01,5219191.51481965,4863872.40484449,4519999.84920298
Country_a,Product_2,2019-04-01,134210676.342266,106367310.271114,81637625.9584644
Country_e,Product_35,2018-05-01,2247664.29470863,1972657.48260905,1704779.17488234
Country_f,Product_79,2017-11-01,57533972.391273,42539841.1625015,28037348.6356339
Country_c,Product_12,2017-11-01,191899.928806124,185348.735285767,179383.93372097
Country_j,Product_13,2017-09-01,106056734.785648,81593651.5607076,59095037.6896311
Country_h,Product_28,2018-12-01,23852413.4180882,12246271.2764324,0
Country_f,Product_22,2018-03-01,0,0,0
Country_a,Product_3,2019-04-01,3574762.82620038,3501136.62987326,3422189.28595114
Country_d,Product_16,2018-09-01,7378709.38443765,7034959.07068076,6699176.29962504
Country_h,Product_22,2019-04-01,3146.55749195196,2728.29662457714,2290.331433976
Country_c,Product_27,2018-10-01,546407374.162342,524051388.469462,501845165.11029
Country_f,Product_30,2017-09-01,3009198.49191629,2834328.20495944,2654093.25127663
Country_i,Product_13,2018-09-01,108050578.523998,52560671.0138456,0
Country_j,Product_45,2018-07-01,2722937.11047934,2602100.02781537,2479931.52521591
Country_h,Product_13,2019-02-01,45103653.3815472,29849031.3021192,15327415.2311462
Country_c,Product_20,2018-09-01,5370285.00748646,5244746.67813809,5121229.05521272
Country_f,Product_83,2019-05-01,574212.175987153,0,0
Country_d,Product_57,2018-02-01,96064.5816748327,75902.163331405,57980.2050675035
Country_f,Product_76,2018-04-01,150754.051668919,0,0
Country_c,Product_46,2019-02-01,1301995612.1262,718847077.18811,102671944.70429
Country_h,Product_53,2018-09-01,698297.276712324,638835.658707714,575944.054306309
Country_h,Product_23,2018-05-01,101201.894654918,96625.0411373383,91768.9878218184
Country_i,Product_39,2019-02-01,7103368.80440395,3756060.74466153,141130.171995465
Country_a,Product_12,2017-09-01,81181.3918794562,77834.903160894,74224.5929888415
Country_j,Product_12,2017-12-01,121503.726948407,113009.896391193,104742.283188274
Country_e,Product_68,2019-04-01,11139511.7549037,8654859.85201443,6090614.941056
Country_h,Product_22,2018-05-01,3383.79972392021,2979.69995455686,2566.66006312794
Country_h,Product_12,2019-04-01,125027.324748296,119295.504012401,114517.61676366
Country_f,Product_57,2019-05-01,379551.507029287,164302.421298413,0
Country_f,Product_20,2018-03-01,4178715.8178208,3771136.51110362,3298307.63769813
Country_g,Product_71,2017-08-01,67471.1562065911,48812.9975130054,30048.7535962411
Country_c,Product_44,2019-04-01,774353.479557667,747471.031970223,720961.906084371
Country_h,Product_12,2018-03-01,118154.530745491,114041.794775511,110163.897492354
Country_f,Product_83,2018-10-01,2387817.81987017,0,0
Country_c,Product_22,2018-09-01,5553.96762208025,4910.61909654061,4283.75243719368
Country_h,Product_1,2018-02-01,318740.616017377,286949.712147785,256151.315307692
Country_c,Product_48,2017-10-01,34968.9650429687,29210.1704565195,23474.1977929427
Country_j,Product_93,2019-01-01,220874421.199735,194507104.427989,169049429.253731
Country_e,Product_69,2019-06-01,25269.3693876028,19011.4627533253,13353.9162148671
Country_a,Product_13,2019-06-01,20863409.711731,15228280.5220868,9291484.19603587
Country_b,Product_11,2018-06-01,5578148.76179942,5200312.68144417,4796730.7044723
Country_i,Product_70,2017-11-01,130471440.582022,91846017.1246924,54676022.077881
Country_d,Product_62,2018-07-01,125148909.601798,113541778.747982,103122944.449544
Country_e,Product_66,2018-07-01,5631090.18536951,4341705.9818593,3121355.9004152
Country_g,Product_69,2019-05-01,228028.373360369,151766.018277452,73737.1170273789
Country_b,Product_36,2019-01-01,2401439227.30993,2240829431.39866,2086562753.80281
Country_e,Product_30,2017-09-01,31528.0692640031,27379.8863360339,23234.6880720333
Country_d,Product_61,2018-03-01,469247809.991946,441191473.32319,413997527.135729
Country_b,Product_38,2019-04-01,815365620.53711,708592568.917251,609357428.815571
Country_a,Product_17,2017-08-01,33880292.5321239,29332796.221705,24615686.1059259
Country_b,Product_43,2018-09-01,7253107824.33587,6590303545.99919,5963880062.54347
Country_j,Product_31,2018-07-01,0,0,0
Country_j,Product_62,2019-04-01,116886584.908419,105667408.847048,94046665.4802063
Country_a,Product_18,2019-05-01,8567.4875435056,6619.58528850051,4364.74366366372
Country_b,Product_35,2018-09-01,2944565.06604906,2650521.79737917,2377797.61786268
Country_f,Product_39,2018-09-01,17166796.9263665,15323165.5819848,13417360.7916558
Country_b,Product_35,2018-12-01,2411240.77305658,2102403.35221602,1819866.17451091
Country_h,Product_53,2018-08-01,629894.499656149,569682.655199748,508755.506777964
Country_i,Product_20,2018-03-01,17968344.369234,17522728.7640857,17090773.495514
Country_h,Product_19,2019-05-01,139688293.724214,122789643.682361,106216463.823094
Country_a,Product_8,2018-07-01,9138844.75950028,7331309.19922765,5584600.46989036
Country_i,Product_58,2017-10-01,734237.947521249,701089.832582232,667745.035258256
Country_f,Product_22,2018-02-01,0,0,0
Country_d,Product_11,2018-06-01,71638.6221943922,0,0
Country_i,Product_70,2017-09-01,101342984.169539,62972461.5869027,21801979.0410509
Country_a,Product_1,2018-06-01,231574.851407726,208769.302409437,187403.359353225
Country_f,Product_1,2018-06-01,628199.416475669,530238.688065056,441575.28560931
Country_h,Product_18,2017-12-01,7962.88119515915,7588.70044261548,7198.55530727219
Country_h,Product_88,2019-01-01,181984.741717993,86785.459940465,0
Country_d,Product_16,2017-08-01,6273542.54165305,5973109.38419007,5644834.84844504
Country_f,Product_84,2018-10-01,1124162185.7345,579106647.591039,23826058.4965308
Country_j,Product_16,2017-10-01,1750921.86218273,1407019.98870498,1091200.61733757
Country_f,Product_78,2018-03-01,255725553.998631,225593672.942924,196492935.857529
Country_d,Product_13,2018-07-01,48761294.3038226,36222211.903135,23820626.7094079
Country_j,Product_45,2018-09-01,2809432.12323208,2687169.55638466,2563492.41418185
Country_i,Product_26,2017-11-01,200965893.903129,186183924.523833,170753672.970921
Country_i,Product_14,2018-04-01,289638.956799983,273802.39914941,257496.102412544
Country_j,Product_56,2018-01-01,3642454.14392653,3509020.68598236,3366046.31597845
Country_a,Product_11,2019-04-01,0,0,0
Country_d,Product_16,2018-06-01,7293952.13469882,6957093.77059597,6618077.51185398
Country_f,Product_78,2018-07-01,338998205.815617,308684035.556673,277696421.717189
Country_d,Product_52,2018-08-01,12724433.4454667,12305345.8527703,11917754.5261494
Country_h,Product_10,2019-05-01,2605.47459045608,1467.43720337808,252.339740729813
Country_i,Product_1,2017-10-01,2519791.54619026,2160776.86036117,1803447.85512375
Country_a,Product_18,2019-02-01,8575.23918643157,6679.77670476125,4721.94701629649
Country_d,Product_57,2019-04-01,0,0,0
Country_f,Product_12,2018-11-01,187876.828921127,176179.024970377,164245.266230408
Country_i,Product_12,2018-12-01,857940.704064621,796750.044095984,734016.190679783
Country_a,Product_19,2017-09-01,107221122.594834,86101076.4755801,63980158.7031326
Country_e,Product_70,2018-03-01,7844739.1680382,6110418.69518343,4216997.50242548
Country_e,Product_42,2019-02-01,73901511.4541994,65020277.1182491,55782629.396447
Country_a,Product_9,2019-03-01,22122254.2461695,17608641.6538851,12746760.4892911
Country_h,Product_27,2018-03-01,586651510.585911,549288186.653971,509523205.447452
Country_d,Product_32,2018-05-01,10421799.2959657,10127814.9523323,9849340.81354897
Country_c,Product_18,2019-01-01,35124.0321106747,31197.878991708,27479.1339474501
Country_i,Product_62,2018-12-01,42198840.5915287,25198199.7626099,8617358.80406633
Country_h,Product_30,2018-03-01,7182608.52352884,6969341.42398759,6766251.22129273
Country_f,Product_62,2019-01-01,45535859.1093916,21408130.3542488,0
Country_h,Product_26,2019-01-01,34588659.835594,32933748.7827434,31287560.2322987
Country_g,Product_30,2019-06-01,3886449.58038852,3513011.85851663,3129383.68756609
Country_b,Product_36,2018-08-01,2040670647.85233,1891618719.15839,1736706170.49227
Country_d,Product_57,2017-11-01,142116.766461248,125095.926025386,106525.079982523
Country_e,Product_37,2018-06-01,77945335.4897664,70939551.6103099,63415504.7314116
Country_g,Product_31,2018-11-01,0,0,0
Country_g,Product_65,2018-10-01,11148.4499514664,9373.03152241245,7489.18067459113
Country_b,Product_43,2018-11-01,6288311762.85108,5615540867.08007,4947967044.0119
