"","DateTime","SubMet_Part","SubMet_Energy","year","month"
"70",2008-04-28,"Kitchen",9773,2008,4
"71",2008-05-05,"Kitchen",17875,2008,5
"72",2008-05-12,"Kitchen",11333,2008,5
"73",2008-05-19,"Kitchen",10656,2008,5
"74",2008-05-26,"Kitchen",8772,2008,5
"75",2008-06-02,"Kitchen",14085,2008,6
"76",2008-06-09,"Kitchen",16957,2008,6
"77",2008-06-16,"Kitchen",23233,2008,6
"78",2008-06-23,"Kitchen",11587,2008,6
"79",2008-06-30,"Kitchen",13689,2008,6
"80",2008-07-07,"Kitchen",12319,2008,7
"81",2008-07-14,"Kitchen",11352,2008,7
"82",2008-07-21,"Kitchen",4301,2008,7
"83",2008-07-28,"Kitchen",6834,2008,7
"84",2008-08-04,"Kitchen",635,2008,8
"85",2008-08-11,"Kitchen",0,2008,8
"86",2008-08-18,"Kitchen",0,2008,8
"87",2008-08-25,"Kitchen",3006,2008,8
"88",2008-09-01,"Kitchen",15510,2008,9
"89",2008-09-08,"Kitchen",10680,2008,9
"90",2008-09-15,"Kitchen",12705,2008,9
"91",2008-09-22,"Kitchen",11533,2008,9
"92",2008-09-29,"Kitchen",13490,2008,9
"93",2008-10-06,"Kitchen",8834,2008,10
"94",2008-10-13,"Kitchen",8503,2008,10
"95",2008-10-20,"Kitchen",10964,2008,10
"96",2008-10-27,"Kitchen",3300,2008,10
"97",2008-11-03,"Kitchen",18040,2008,11
"98",2008-11-10,"Kitchen",15399,2008,11
"99",2008-11-17,"Kitchen",9613,2008,11
"100",2008-11-24,"Kitchen",15015,2008,11
"101",2008-12-01,"Kitchen",11437,2008,12
"102",2008-12-08,"Kitchen",12475,2008,12
"103",2008-12-15,"Kitchen",10324.5,2008,12
"104",2008-12-22,"Kitchen",7897,2008,12
"105",2008-12-29,"Kitchen",14054,2008,12
"106",2009-01-05,"Kitchen",15858,2009,1
"107",2009-01-12,"Kitchen",20086.5,2009,1
"108",2009-01-19,"Kitchen",13411,2009,1
"109",2009-01-26,"Kitchen",17548,2009,1
"110",2009-02-02,"Kitchen",17165,2009,2
"111",2009-02-09,"Kitchen",12130,2009,2
"112",2009-02-16,"Kitchen",9870,2009,2
"113",2009-02-23,"Kitchen",15827,2009,2
"114",2009-03-02,"Kitchen",14385,2009,3
"115",2009-03-09,"Kitchen",12233,2009,3
"116",2009-03-16,"Kitchen",10753,2009,3
"117",2009-03-23,"Kitchen",13894,2009,3
"118",2009-03-30,"Kitchen",13467,2009,3
"119",2009-04-06,"Kitchen",20138,2009,4
"120",2009-04-13,"Kitchen",8893,2009,4
"121",2009-04-20,"Kitchen",10072,2009,4
"122",2009-04-27,"Kitchen",10849,2009,4
"123",2009-05-04,"Kitchen",11738,2009,5
"124",2009-05-11,"Kitchen",7824,2009,5
"125",2009-05-18,"Kitchen",8294,2009,5
"126",2009-05-25,"Kitchen",11792,2009,5
"127",2009-06-01,"Kitchen",7716,2009,6
"128",2009-06-08,"Kitchen",7803,2009,6
"129",2009-06-15,"Kitchen",5966,2009,6
"130",2009-06-22,"Kitchen",10352,2009,6
"131",2009-06-29,"Kitchen",8792,2009,6
"132",2009-07-06,"Kitchen",3261,2009,7
"133",2009-07-13,"Kitchen",4095,2009,7
"134",2009-07-20,"Kitchen",926,2009,7
"135",2009-07-27,"Kitchen",1734,2009,7
"136",2009-08-03,"Kitchen",1984,2009,8
"137",2009-08-10,"Kitchen",8455,2009,8
"138",2009-08-17,"Kitchen",14017,2009,8
"139",2009-08-24,"Kitchen",9567,2009,8
"140",2009-08-31,"Kitchen",10445,2009,8
"141",2009-09-07,"Kitchen",19466,2009,9
"142",2009-09-14,"Kitchen",11857,2009,9
"143",2009-09-21,"Kitchen",7833,2009,9
"144",2009-09-28,"Kitchen",10768,2009,9
"145",2009-10-05,"Kitchen",12444,2009,10
"146",2009-10-12,"Kitchen",11919,2009,10
"147",2009-10-19,"Kitchen",15183,2009,10
"148",2009-10-26,"Kitchen",8385,2009,10
"149",2009-11-02,"Kitchen",13198,2009,11
"150",2009-11-09,"Kitchen",13084,2009,11
"151",2009-11-16,"Kitchen",21344,2009,11
"152",2009-11-23,"Kitchen",9770,2009,11
"153",2009-11-30,"Kitchen",11092,2009,11
"154",2009-12-07,"Kitchen",13734,2009,12
"155",2009-12-14,"Kitchen",6941,2009,12
"156",2009-12-21,"Kitchen",18395,2009,12
"157",2009-12-28,"Kitchen",15666,2009,12
"158",2010-01-04,"Kitchen",11059,2010,1
"159",2010-01-11,"Kitchen",13996.5,2010,1
"160",2010-01-18,"Kitchen",13221,2010,1
"161",2010-01-25,"Kitchen",12413,2010,1
"162",2010-02-01,"Kitchen",12381,2010,2
"163",2010-02-08,"Kitchen",7897.5,2010,2
"164",2010-02-15,"Kitchen",20449,2010,2
"165",2010-02-22,"Kitchen",8542,2010,2
"166",2010-03-01,"Kitchen",2893,2010,3
"167",2010-03-08,"Kitchen",16301,2010,3
"168",2010-03-15,"Kitchen",11043,2010,3
"169",2010-03-22,"Kitchen",8337,2010,3
"170",2010-03-29,"Kitchen",9237,2010,3
"171",2010-04-05,"Kitchen",10667,2010,4
"172",2010-04-12,"Kitchen",10479,2010,4
"173",2010-04-19,"Kitchen",7933,2010,4
"174",2010-04-26,"Kitchen",7529,2010,4
"175",2010-05-03,"Kitchen",10479,2010,5
"176",2010-05-10,"Kitchen",13083.5,2010,5
"177",2010-05-17,"Kitchen",8212,2010,5
"178",2010-05-24,"Kitchen",11512,2010,5
"179",2010-05-31,"Kitchen",25943,2010,5
"180",2010-06-07,"Kitchen",16311,2010,6
"181",2010-06-14,"Kitchen",10082,2010,6
"182",2010-06-21,"Kitchen",11267,2010,6
"183",2010-06-28,"Kitchen",5544,2010,6
"184",2010-07-05,"Kitchen",5215,2010,7
"185",2010-07-12,"Kitchen",4445,2010,7
"186",2010-07-19,"Kitchen",2936,2010,7
"187",2010-07-26,"Kitchen",1708,2010,7
"188",2010-08-02,"Kitchen",0,2010,8
"189",2010-08-09,"Kitchen",1530,2010,8
"190",2010-08-16,"Kitchen",940,2010,8
"191",2010-08-23,"Kitchen",7930,2010,8
"192",2010-08-30,"Kitchen",13293,2010,8
"193",2010-09-06,"Kitchen",8745,2010,9
"194",2010-09-13,"Kitchen",9171,2010,9
"195",2010-09-20,"Kitchen",5232,2010,9
"196",2010-09-27,"Kitchen",14956,2010,9
"197",2010-10-04,"Kitchen",9430,2010,10
"198",2010-10-11,"Kitchen",9616,2010,10
"199",2010-10-18,"Kitchen",10759,2010,10
"200",2010-10-25,"Kitchen",5961,2010,10
"201",2007-01-01,"Laundry",17599,2007,1
"202",2007-01-08,"Laundry",18989,2007,1
"203",2007-01-15,"Laundry",20075,2007,1
"204",2007-01-22,"Laundry",14943.5,2007,1
"205",2007-01-29,"Laundry",17580,2007,1
"206",2007-02-05,"Laundry",17489,2007,2
"207",2007-02-12,"Laundry",20471,2007,2
"208",2007-02-19,"Laundry",15783,2007,2
"209",2007-02-26,"Laundry",10699,2007,2
"210",2007-03-05,"Laundry",31182,2007,3
"211",2007-03-12,"Laundry",22775,2007,3
"212",2007-03-19,"Laundry",20910,2007,3
"213",2007-03-26,"Laundry",26552,2007,3
"214",2007-04-02,"Laundry",15315,2007,4
"215",2007-04-09,"Laundry",5862,2007,4
"216",2007-04-16,"Laundry",5965,2007,4
"217",2007-04-23,"Laundry",8086,2007,4
"218",2007-04-30,"Laundry",13125,2007,4
"219",2007-05-07,"Laundry",14573,2007,5
"220",2007-05-14,"Laundry",14881,2007,5
"221",2007-05-21,"Laundry",21221,2007,5
"222",2007-05-28,"Laundry",18430,2007,5
"223",2007-06-04,"Laundry",17026,2007,6
"224",2007-06-11,"Laundry",17555,2007,6
"225",2007-06-18,"Laundry",11674,2007,6
"226",2007-06-25,"Laundry",19629,2007,6
"227",2007-07-02,"Laundry",16237,2007,7
"228",2007-07-09,"Laundry",9435,2007,7
"229",2007-07-16,"Laundry",8422,2007,7
"230",2007-07-23,"Laundry",15705,2007,7
"231",2007-07-30,"Laundry",398,2007,7
"232",2007-08-06,"Laundry",12987,2007,8
"233",2007-08-13,"Laundry",17070,2007,8
"234",2007-08-20,"Laundry",12981.5,2007,8
"235",2007-08-27,"Laundry",10977,2007,8
"236",2007-09-03,"Laundry",18918,2007,9
"237",2007-09-10,"Laundry",12405,2007,9
"238",2007-09-17,"Laundry",15181,2007,9
"239",2007-09-24,"Laundry",30731,2007,9
"240",2007-10-01,"Laundry",22863,2007,10
"241",2007-10-08,"Laundry",21338,2007,10
"242",2007-10-15,"Laundry",16717,2007,10
"243",2007-10-22,"Laundry",13498,2007,10
"244",2007-10-29,"Laundry",13981,2007,10
"245",2007-11-05,"Laundry",11724,2007,11
"246",2007-11-12,"Laundry",18920,2007,11
"247",2007-11-19,"Laundry",15644,2007,11
"248",2007-11-26,"Laundry",27569,2007,11
"249",2007-12-03,"Laundry",15232,2007,12
"250",2007-12-10,"Laundry",15614,2007,12
"251",2007-12-17,"Laundry",16828,2007,12
"252",2007-12-24,"Laundry",24532,2007,12
"253",2007-12-31,"Laundry",18193,2007,12
"254",2008-01-07,"Laundry",7614.5,2008,1
"255",2008-01-14,"Laundry",18282,2008,1
"256",2008-01-21,"Laundry",15273,2008,1
"257",2008-01-28,"Laundry",14486,2008,1
"258",2008-02-04,"Laundry",16420,2008,2
"259",2008-02-11,"Laundry",12399,2008,2
"260",2008-02-18,"Laundry",15352,2008,2
"261",2008-02-25,"Laundry",11527,2008,2
"262",2008-03-03,"Laundry",18969,2008,3
"263",2008-03-10,"Laundry",15182,2008,3
"264",2008-03-17,"Laundry",19037,2008,3
"265",2008-03-24,"Laundry",19558.5,2008,3
"266",2008-03-31,"Laundry",15689,2008,3
"267",2008-04-07,"Laundry",20903,2008,4
"268",2008-04-14,"Laundry",18324,2008,4
"269",2008-04-21,"Laundry",9954,2008,4
"270",2008-04-28,"Laundry",10906,2008,4
"271",2008-05-05,"Laundry",9995,2008,5
"272",2008-05-12,"Laundry",17511,2008,5
"273",2008-05-19,"Laundry",14781,2008,5
"274",2008-05-26,"Laundry",12821,2008,5
"275",2008-06-02,"Laundry",19159,2008,6
"276",2008-06-09,"Laundry",17629.5,2008,6
"277",2008-06-16,"Laundry",15500,2008,6
"278",2008-06-23,"Laundry",10058,2008,6
"279",2008-06-30,"Laundry",16971,2008,6
"280",2008-07-07,"Laundry",9888,2008,7
"281",2008-07-14,"Laundry",9279,2008,7
"282",2008-07-21,"Laundry",4167,2008,7
"283",2008-07-28,"Laundry",10941,2008,7
"284",2008-08-04,"Laundry",3471,2008,8
"285",2008-08-11,"Laundry",3120,2008,8
"286",2008-08-18,"Laundry",2994,2008,8
"287",2008-08-25,"Laundry",6370,2008,8
"288",2008-09-01,"Laundry",14443,2008,9
"289",2008-09-08,"Laundry",7913,2008,9
"290",2008-09-15,"Laundry",10002,2008,9
"291",2008-09-22,"Laundry",11351,2008,9
"292",2008-09-29,"Laundry",11048,2008,9
"293",2008-10-06,"Laundry",17690,2008,10
"294",2008-10-13,"Laundry",23413,2008,10
"295",2008-10-20,"Laundry",9735.5,2008,10
"296",2008-10-27,"Laundry",2456,2008,10
"297",2008-11-03,"Laundry",21721,2008,11
"298",2008-11-10,"Laundry",11679,2008,11
"299",2008-11-17,"Laundry",14179.5,2008,11
"300",2008-11-24,"Laundry",7657,2008,11
"301",2008-12-01,"Laundry",7565,2008,12
"302",2008-12-08,"Laundry",10279,2008,12
"303",2008-12-15,"Laundry",17011,2008,12
"304",2008-12-22,"Laundry",3895,2008,12
"305",2008-12-29,"Laundry",16151,2008,12
"306",2009-01-05,"Laundry",14556,2009,1
"307",2009-01-12,"Laundry",14325,2009,1
"308",2009-01-19,"Laundry",13905,2009,1
"309",2009-01-26,"Laundry",15346,2009,1
"310",2009-02-02,"Laundry",13350,2009,2
"311",2009-02-09,"Laundry",15003,2009,2
"312",2009-02-16,"Laundry",10229,2009,2
"313",2009-02-23,"Laundry",14232.5,2009,2
"314",2009-03-02,"Laundry",9755,2009,3
"315",2009-03-09,"Laundry",14045,2009,3
"316",2009-03-16,"Laundry",9715,2009,3
"317",2009-03-23,"Laundry",9461,2009,3
"318",2009-03-30,"Laundry",10587,2009,3
"319",2009-04-06,"Laundry",17791,2009,4
"320",2009-04-13,"Laundry",14058,2009,4
"321",2009-04-20,"Laundry",9650,2009,4
"322",2009-04-27,"Laundry",7656,2009,4
"323",2009-05-04,"Laundry",16067,2009,5
"324",2009-05-11,"Laundry",14945,2009,5
"325",2009-05-18,"Laundry",8422,2009,5
"326",2009-05-25,"Laundry",6700.5,2009,5
"327",2009-06-01,"Laundry",7592,2009,6
"328",2009-06-08,"Laundry",10817,2009,6
"329",2009-06-15,"Laundry",6286,2009,6
"330",2009-06-22,"Laundry",7984,2009,6
"331",2009-06-29,"Laundry",7391,2009,6
"332",2009-07-06,"Laundry",12279,2009,7
"333",2009-07-13,"Laundry",5945,2009,7
"334",2009-07-20,"Laundry",6572,2009,7
"335",2009-07-27,"Laundry",13461,2009,7
"336",2009-08-03,"Laundry",9299,2009,8
"337",2009-08-10,"Laundry",10467,2009,8
"338",2009-08-17,"Laundry",8781,2009,8
"339",2009-08-24,"Laundry",7584,2009,8
"340",2009-08-31,"Laundry",8504,2009,8
"341",2009-09-07,"Laundry",8057,2009,9
"342",2009-09-14,"Laundry",12365,2009,9
"343",2009-09-21,"Laundry",8535,2009,9
"344",2009-09-28,"Laundry",14816,2009,9
"345",2009-10-05,"Laundry",13594,2009,10
"346",2009-10-12,"Laundry",9926,2009,10
"347",2009-10-19,"Laundry",14052,2009,10
"348",2009-10-26,"Laundry",10494,2009,10
"349",2009-11-02,"Laundry",11887,2009,11
"350",2009-11-09,"Laundry",14492,2009,11
"351",2009-11-16,"Laundry",11949,2009,11
"352",2009-11-23,"Laundry",14314,2009,11
"353",2009-11-30,"Laundry",13047,2009,11
"354",2009-12-07,"Laundry",9336,2009,12
"355",2009-12-14,"Laundry",9202,2009,12
"356",2009-12-21,"Laundry",14933,2009,12
"357",2009-12-28,"Laundry",12880,2009,12
"358",2010-01-04,"Laundry",11977,2010,1
"359",2010-01-11,"Laundry",13636,2010,1
"360",2010-01-18,"Laundry",11936,2010,1
"361",2010-01-25,"Laundry",17532,2010,1
"362",2010-02-01,"Laundry",16224,2010,2
"363",2010-02-08,"Laundry",10070.5,2010,2
"364",2010-02-15,"Laundry",16591,2010,2
"365",2010-02-22,"Laundry",10706,2010,2
"366",2010-03-01,"Laundry",7200,2010,3
"367",2010-03-08,"Laundry",15600,2010,3
"368",2010-03-15,"Laundry",17194,2010,3
"369",2010-03-22,"Laundry",20446,2010,3
"370",2010-03-29,"Laundry",10799,2010,3
"371",2010-04-05,"Laundry",7413,2010,4
"372",2010-04-12,"Laundry",15764,2010,4
"373",2010-04-19,"Laundry",6923,2010,4
"374",2010-04-26,"Laundry",15846,2010,4
"375",2010-05-03,"Laundry",9319,2010,5
"376",2010-05-10,"Laundry",11215,2010,5
"377",2010-05-17,"Laundry",7103,2010,5
"378",2010-05-24,"Laundry",11354,2010,5
"379",2010-05-31,"Laundry",4219,2010,5
"380",2010-06-07,"Laundry",12680,2010,6
"381",2010-06-14,"Laundry",15952,2010,6
"382",2010-06-21,"Laundry",12042,2010,6
"383",2010-06-28,"Laundry",7252,2010,6
"384",2010-07-05,"Laundry",5986,2010,7
"385",2010-07-12,"Laundry",7759,2010,7
"386",2010-07-19,"Laundry",13466,2010,7
"387",2010-07-26,"Laundry",3780,2010,7
"388",2010-08-02,"Laundry",3644,2010,8
"389",2010-08-09,"Laundry",7425,2010,8
"390",2010-08-16,"Laundry",8586,2010,8
"391",2010-08-23,"Laundry",11737,2010,8
"392",2010-08-30,"Laundry",7938,2010,8
"393",2010-09-06,"Laundry",8504,2010,9
"394",2010-09-13,"Laundry",12665,2010,9
"395",2010-09-20,"Laundry",3524,2010,9
"396",2010-09-27,"Laundry",6351,2010,9
"397",2010-10-04,"Laundry",12156,2010,10
"398",2010-10-11,"Laundry",16188,2010,10
"399",2010-10-18,"Laundry",17956,2010,10
"400",2010-10-25,"Laundry",9191,2010,10
"401",2007-01-01,"AC",54193,2007,1
"402",2007-01-08,"AC",83372.5,2007,1
"403",2007-01-15,"AC",81512,2007,1
"404",2007-01-22,"AC",72078,2007,1
"405",2007-01-29,"AC",95244,2007,1
"406",2007-02-05,"AC",71798,2007,2
"407",2007-02-12,"AC",72355,2007,2
"408",2007-02-19,"AC",62639,2007,2
"409",2007-02-26,"AC",24681,2007,2
"410",2007-03-05,"AC",66004,2007,3
"411",2007-03-12,"AC",60820,2007,3
"412",2007-03-19,"AC",91375,2007,3
"413",2007-03-26,"AC",90358,2007,3
"414",2007-04-02,"AC",55343,2007,4
"415",2007-04-09,"AC",22356,2007,4
"416",2007-04-16,"AC",47112,2007,4
"417",2007-04-23,"AC",50773,2007,4
"418",2007-04-30,"AC",54957,2007,4
"419",2007-05-07,"AC",52866,2007,5
"420",2007-05-14,"AC",53891,2007,5
"421",2007-05-21,"AC",52046,2007,5
"422",2007-05-28,"AC",43852,2007,5
"423",2007-06-04,"AC",51697,2007,6
"424",2007-06-11,"AC",44798,2007,6
"425",2007-06-18,"AC",27352,2007,6
"426",2007-06-25,"AC",45350,2007,6
"427",2007-07-02,"AC",43145,2007,7
"428",2007-07-09,"AC",37126,2007,7
"429",2007-07-16,"AC",33035,2007,7
"430",2007-07-23,"AC",29810,2007,7
"431",2007-07-30,"AC",52171.5,2007,7
"432",2007-08-06,"AC",63657,2007,8
"433",2007-08-13,"AC",46490,2007,8
"434",2007-08-20,"AC",43503,2007,8
"435",2007-08-27,"AC",47236,2007,8
"436",2007-09-03,"AC",53385,2007,9
"437",2007-09-10,"AC",45257,2007,9
"438",2007-09-17,"AC",52699,2007,9
"439",2007-09-24,"AC",57166,2007,9
"440",2007-10-01,"AC",61276,2007,10
"441",2007-10-08,"AC",55343,2007,10
"442",2007-10-15,"AC",73921,2007,10
"443",2007-10-22,"AC",43660,2007,10
"444",2007-10-29,"AC",39160,2007,10
"445",2007-11-05,"AC",65313,2007,11
"446",2007-11-12,"AC",83825,2007,11
"447",2007-11-19,"AC",73061.5,2007,11
"448",2007-11-26,"AC",82749,2007,11
"449",2007-12-03,"AC",73090,2007,12
"450",2007-12-10,"AC",77874,2007,12
"451",2007-12-17,"AC",83817,2007,12
"452",2007-12-24,"AC",85088,2007,12
"453",2007-12-31,"AC",76251,2007,12
"454",2008-01-07,"AC",67533.5,2008,1
"455",2008-01-14,"AC",70236,2008,1
"456",2008-01-21,"AC",71675,2008,1
"457",2008-01-28,"AC",71465,2008,1
"458",2008-02-04,"AC",69749,2008,2
"459",2008-02-11,"AC",69000,2008,2
"460",2008-02-18,"AC",69394,2008,2
"461",2008-02-25,"AC",22217,2008,2
"462",2008-03-03,"AC",45287,2008,3
"463",2008-03-10,"AC",69774,2008,3
"464",2008-03-17,"AC",74272,2008,3
"465",2008-03-24,"AC",85066,2008,3
"466",2008-03-31,"AC",73313,2008,3
"467",2008-04-07,"AC",87000,2008,4
"468",2008-04-14,"AC",72666,2008,4
"469",2008-04-21,"AC",45565,2008,4
"470",2008-04-28,"AC",50603,2008,4
"471",2008-05-05,"AC",74073,2008,5
"472",2008-05-12,"AC",62464,2008,5
"473",2008-05-19,"AC",70570,2008,5
"474",2008-05-26,"AC",67694,2008,5
"475",2008-06-02,"AC",64671,2008,6
"476",2008-06-09,"AC",66617.5,2008,6
"477",2008-06-16,"AC",79713,2008,6
"478",2008-06-23,"AC",61454,2008,6
"479",2008-06-30,"AC",54154,2008,6
"480",2008-07-07,"AC",53104,2008,7
"481",2008-07-14,"AC",53425,2008,7
"482",2008-07-21,"AC",46877,2008,7
"483",2008-07-28,"AC",36898.5,2008,7
"484",2008-08-04,"AC",19357,2008,8
"485",2008-08-11,"AC",12082,2008,8
"486",2008-08-18,"AC",10958,2008,8
"487",2008-08-25,"AC",30237.5,2008,8
"488",2008-09-01,"AC",62147,2008,9
"489",2008-09-08,"AC",63058,2008,9
"490",2008-09-15,"AC",69029,2008,9
"491",2008-09-22,"AC",72450,2008,9
"492",2008-09-29,"AC",64921,2008,9
"493",2008-10-06,"AC",72851,2008,10
"494",2008-10-13,"AC",65221,2008,10
"495",2008-10-20,"AC",56887.5,2008,10
"496",2008-10-27,"AC",28937,2008,10
"497",2008-11-03,"AC",51932,2008,11
"498",2008-11-10,"AC",75259,2008,11
"499",2008-11-17,"AC",67234.5,2008,11
"500",2008-11-24,"AC",81512,2008,11
"501",2008-12-01,"AC",73861,2008,12
"502",2008-12-08,"AC",73215,2008,12
"503",2008-12-15,"AC",82534,2008,12
"504",2008-12-22,"AC",57634,2008,12
"505",2008-12-29,"AC",49813,2008,12
"506",2009-01-05,"AC",68877,2009,1
"507",2009-01-12,"AC",91487.5,2009,1
"508",2009-01-19,"AC",73763,2009,1
"509",2009-01-26,"AC",74660,2009,1
"510",2009-02-02,"AC",99609,2009,2
"511",2009-02-09,"AC",86964,2009,2
"512",2009-02-16,"AC",38113,2009,2
"513",2009-02-23,"AC",72872,2009,2
"514",2009-03-02,"AC",74055,2009,3
"515",2009-03-09,"AC",83193,2009,3
"516",2009-03-16,"AC",73069,2009,3
"517",2009-03-23,"AC",76606,2009,3
"518",2009-03-30,"AC",75218,2009,3
"519",2009-04-06,"AC",81311,2009,4
"520",2009-04-13,"AC",61483,2009,4
"521",2009-04-20,"AC",66640,2009,4
"522",2009-04-27,"AC",76215,2009,4
"523",2009-05-04,"AC",68952,2009,5
"524",2009-05-11,"AC",70560,2009,5
"525",2009-05-18,"AC",73857,2009,5
"526",2009-05-25,"AC",68975,2009,5
"527",2009-06-01,"AC",64085,2009,6
"528",2009-06-08,"AC",66632,2009,6
"529",2009-06-15,"AC",66153,2009,6
"530",2009-06-22,"AC",65309,2009,6
"531",2009-06-29,"AC",56086,2009,6
"532",2009-07-06,"AC",42986,2009,7
"533",2009-07-13,"AC",37942,2009,7
"534",2009-07-20,"AC",37669,2009,7
"535",2009-07-27,"AC",35842,2009,7
"536",2009-08-03,"AC",31597,2009,8
"537",2009-08-10,"AC",39243.5,2009,8
"538",2009-08-17,"AC",49823,2009,8
"539",2009-08-24,"AC",58248,2009,8
"540",2009-08-31,"AC",56863,2009,8
"541",2009-09-07,"AC",69285.5,2009,9
"542",2009-09-14,"AC",78513,2009,9
"543",2009-09-21,"AC",75386,2009,9
"544",2009-09-28,"AC",67583,2009,9
"545",2009-10-05,"AC",73879.5,2009,10
"546",2009-10-12,"AC",78017,2009,10
"547",2009-10-19,"AC",71976,2009,10
"548",2009-10-26,"AC",64830,2009,10
"549",2009-11-02,"AC",74840,2009,11
"550",2009-11-09,"AC",77536.5,2009,11
"551",2009-11-16,"AC",87159,2009,11
"552",2009-11-23,"AC",71758,2009,11
"553",2009-11-30,"AC",80495,2009,11
"554",2009-12-07,"AC",81700,2009,12
"555",2009-12-14,"AC",80267,2009,12
"556",2009-12-21,"AC",96490,2009,12
"557",2009-12-28,"AC",77105.5,2009,12
"558",2010-01-04,"AC",92948,2010,1
"559",2010-01-11,"AC",93474.5,2010,1
"560",2010-01-18,"AC",104903,2010,1
"561",2010-01-25,"AC",114041,2010,1
"562",2010-02-01,"AC",122443,2010,2
"563",2010-02-08,"AC",108791,2010,2
"564",2010-02-15,"AC",99966,2010,2
"565",2010-02-22,"AC",80531,2010,2
"566",2010-03-01,"AC",34436,2010,3
"567",2010-03-08,"AC",96636,2010,3
"568",2010-03-15,"AC",91400,2010,3
"569",2010-03-22,"AC",101148,2010,3
"570",2010-03-29,"AC",89157,2010,3
"571",2010-04-05,"AC",77488,2010,4
"572",2010-04-12,"AC",89112,2010,4
"573",2010-04-19,"AC",76496,2010,4
"574",2010-04-26,"AC",62675,2010,4
"575",2010-05-03,"AC",81068,2010,5
"576",2010-05-10,"AC",95973.5,2010,5
"577",2010-05-17,"AC",76496,2010,5
"578",2010-05-24,"AC",78058,2010,5
"579",2010-05-31,"AC",75458,2010,5
"580",2010-06-07,"AC",77859,2010,6
"581",2010-06-14,"AC",74037,2010,6
"582",2010-06-21,"AC",66119,2010,6
"583",2010-06-28,"AC",46913,2010,6
"584",2010-07-05,"AC",51174,2010,7
"585",2010-07-12,"AC",43668.5,2010,7
